,data,iv,ciphertext
0,03ff004f49f88f73cf6c8b743043b8691d186868de6cbc5329b589c98fd017ce3651aa1502825d53d3487b1ca14e0d0c339f,03ff00,4f49f88f73cf6c8b743043b8691d186868de6cbc5329b589c98fd017ce3651aa1502825d53d3487b1ca14e0d0c339f
1,03ff01db3856d73faf9fd63c0ae9fca099ba191cd6f515fd24d23a8ff9e1710d38fa7f02c4585c308e1d77f23f93d70dd72091e84005a22604d1b9fba760a5ff4a9aaec47364,03ff01,db3856d73faf9fd63c0ae9fca099ba191cd6f515fd24d23a8ff9e1710d38fa7f02c4585c308e1d77f23f93d70dd72091e84005a22604d1b9fba760a5ff4a9aaec47364
2,03ff02c84c9f6623888964ebf35c442d6f9f9e86841e8837e1b011e87e0dbceed155,03ff02,c84c9f6623888964ebf35c442d6f9f9e86841e8837e1b011e87e0dbceed155
3,03ff03a9143cbb2f3a64569c2e4ffbb028fff776279d2480d5c8c4c422ca7ddcb629cd007412604d9fa189,03ff03,a9143cbb2f3a64569c2e4ffbb028fff776279d2480d5c8c4c422ca7ddcb629cd007412604d9fa189
4,03ff047d0cdc62ad313f0b9e18b95406c47882617d0b53049c7a294e3c9a27ca4905b1bb3b1596a8a8e7ccb3aeb58732ab87fc1a635e36323896c5bfaa1df36b30246d9c,03ff04,7d0cdc62ad313f0b9e18b95406c47882617d0b53049c7a294e3c9a27ca4905b1bb3b1596a8a8e7ccb3aeb58732ab87fc1a635e36323896c5bfaa1df36b30246d9c
5,03ff050097c281a8bb5d76d3d4bdf6f363f1b75ba264d66a7e344fc6e1ad59ed465b047fbae533103d14c5d42940c700,03ff05,0097c281a8bb5d76d3d4bdf6f363f1b75ba264d66a7e344fc6e1ad59ed465b047fbae533103d14c5d42940c700
6,03ff06492a13e3b9f752fd552fdaa07e2b1b3b20344e149e006a11842c9b5cb80bf962df,03ff06,492a13e3b9f752fd552fdaa07e2b1b3b20344e149e006a11842c9b5cb80bf962df
7,03ff078da547d9c865c74df94e5d0b0cb115c0ca866475cfa6f2ae00cb762e0bfeaca0035f9c39f1153d7c5e8189e2d85719cd55c0eca9b3bd1a6e135a750da425c39514f74eedfa7e3e7395141311d1ec4464,03ff07,8da547d9c865c74df94e5d0b0cb115c0ca866475cfa6f2ae00cb762e0bfeaca0035f9c39f1153d7c5e8189e2d85719cd55c0eca9b3bd1a6e135a750da425c39514f74eedfa7e3e7395141311d1ec4464
8,03ff0835081760f8b1b340f0d82ae68acc9f9aac6709b1566d1693,03ff08,35081760f8b1b340f0d82ae68acc9f9aac6709b1566d1693
9,03ff0985a6e6fbc65f48f2bce04db55e6a93d4317692e3c9671507c25ba2f05c21d861cc0eef6ca61468,03ff09,85a6e6fbc65f48f2bce04db55e6a93d4317692e3c9671507c25ba2f05c21d861cc0eef6ca61468
10,03ff0aaf379eb59222e556315bfb1d5e8227d66acf09ec40eecd792a99b64ed0a40c42c7737d951603664386d582,03ff0a,af379eb59222e556315bfb1d5e8227d66acf09ec40eecd792a99b64ed0a40c42c7737d951603664386d582
11,03ff0bee022d538f00bca8b5adf23f51c7b756f06de849aa89fe548958f3b07279,03ff0b,ee022d538f00bca8b5adf23f51c7b756f06de849aa89fe548958f3b07279
12,03ff0ca61fa6f16c420fffd08b6d5495f2d26b18d7f4c6f95dfb357b150df9f32c33b9f90a463f5b091435fed901467c96bff1db,03ff0c,a61fa6f16c420fffd08b6d5495f2d26b18d7f4c6f95dfb357b150df9f32c33b9f90a463f5b091435fed901467c96bff1db
13,03ff0de8371229d75a620b99a4e6f80a38b661c8c99b60087d96e2e70bb5e75870a51b9d1636845bbad80e,03ff0d,e8371229d75a620b99a4e6f80a38b661c8c99b60087d96e2e70bb5e75870a51b9d1636845bbad80e
14,03ff0ed7fc10cb2f384fcedd3834cbcc68811c9b453c1045,03ff0e,d7fc10cb2f384fcedd3834cbcc68811c9b453c1045
15,03ff0f001eade8417a83006fc686bd81095c4ea72337a6a3375723c232c87377f13b7fb0c0da4b,03ff0f,001eade8417a83006fc686bd81095c4ea72337a6a3375723c232c87377f13b7fb0c0da4b
16,03ff101b1026bd8f1f47e4f0d1706681967733288e91fc2d2f3b3ce04c71,03ff10,1b1026bd8f1f47e4f0d1706681967733288e91fc2d2f3b3ce04c71
17,03ff110bd0eeddb3eaf0155e8e9881cfd692069baad8a1a2f3a3dae586c24b9b56a6b44f40d2fc7902f3a20f4bffa315b529b23f58736d3824a89fbef5f15d9629ef674254aa254e0b17646dcde2,03ff11,0bd0eeddb3eaf0155e8e9881cfd692069baad8a1a2f3a3dae586c24b9b56a6b44f40d2fc7902f3a20f4bffa315b529b23f58736d3824a89fbef5f15d9629ef674254aa254e0b17646dcde2
18,03ff1284499f75997eb7341c6d7a18e025d274c0cc0b990aa895b045f93b6a8e698a389200be99e6d197,03ff12,84499f75997eb7341c6d7a18e025d274c0cc0b990aa895b045f93b6a8e698a389200be99e6d197
19,03ff13829b612fb1e87851b27df67e19dfd8682be6523a82b20ceeb6da7c4ee6b55133261a3161e438e4e122861a2f932702a7e540223864e01412508b8fdf518183765e783c401b9e2099bd3a1c34baff59,03ff13,829b612fb1e87851b27df67e19dfd8682be6523a82b20ceeb6da7c4ee6b55133261a3161e438e4e122861a2f932702a7e540223864e01412508b8fdf518183765e783c401b9e2099bd3a1c34baff59
20,03ff146f19c1dbfb5cb79dcd3075a32ea8333cc7ceadebef94fcca0eab371ae4344f7e6c89cd3b5efdd8a3d97a6c35,03ff14,6f19c1dbfb5cb79dcd3075a32ea8333cc7ceadebef94fcca0eab371ae4344f7e6c89cd3b5efdd8a3d97a6c35
21,03ff158db484ef5660cf0f7cd89b9716310fb798cd9e530d6a68c6d9,03ff15,8db484ef5660cf0f7cd89b9716310fb798cd9e530d6a68c6d9
22,03ff168502c5ef2c91909b9c27612f022e646ec29907dae4fdda6498d1,03ff16,8502c5ef2c91909b9c27612f022e646ec29907dae4fdda6498d1
23,03ff172a9e89d47c313601b3310d99f979d5ea6d58532e472aeb612cd89e15e686926bfc0f7aaf87fcf91be1da7ba9fd366cd8fd37eb,03ff17,2a9e89d47c313601b3310d99f979d5ea6d58532e472aeb612cd89e15e686926bfc0f7aaf87fcf91be1da7ba9fd366cd8fd37eb
24,03ff18638710885d54eb83a6659bbeff62cad949a90fa57d08cd,03ff18,638710885d54eb83a6659bbeff62cad949a90fa57d08cd
25,03ff19c541ab02aa07a9594d2a80bcba8d2c9af6f1f336df76ddca3f4b74f4b52db20dd3e251d4d764664e7a30ccdfaa0fe6fedafd8e3faf2428153db5f9fd7f841dff3fe583dd0980a6cd32a1a70b2268f247644dae9ce20b91,03ff19,c541ab02aa07a9594d2a80bcba8d2c9af6f1f336df76ddca3f4b74f4b52db20dd3e251d4d764664e7a30ccdfaa0fe6fedafd8e3faf2428153db5f9fd7f841dff3fe583dd0980a6cd32a1a70b2268f247644dae9ce20b91
26,03ff1ac4913cf745d40c14362b5484dd39ed8f11f8001b3f6cb08d0aa67653ce8949,03ff1a,c4913cf745d40c14362b5484dd39ed8f11f8001b3f6cb08d0aa67653ce8949
27,03ff1baf428b9846663cc98d5717b4927fac26a46a133854d13d914744fc35363dfd6f33b6cb26d67de95b01,03ff1b,af428b9846663cc98d5717b4927fac26a46a133854d13d914744fc35363dfd6f33b6cb26d67de95b01
28,03ff1cbda4e817514214344d7b60a5101c613ba15f4f4126e42a234702609200b4ceb74e1ea47ea89c6f7d4026eba587a569ac81f924b9f2d0fbc047b682b721c1ebe00a87,03ff1c,bda4e817514214344d7b60a5101c613ba15f4f4126e42a234702609200b4ceb74e1ea47ea89c6f7d4026eba587a569ac81f924b9f2d0fbc047b682b721c1ebe00a87
29,03ff1d4fe1eeaa2a1694905eb36712af5b3d60762f50f23e8a482de41f,03ff1d,4fe1eeaa2a1694905eb36712af5b3d60762f50f23e8a482de41f
30,03ff1e2113423f1a00dce97ec4720f57edbdbce954b065664a8b19ffa3b90b4b9f1a2be94b,03ff1e,2113423f1a00dce97ec4720f57edbdbce954b065664a8b19ffa3b90b4b9f1a2be94b
31,03ff1f3900286e453bd32eead5777b6f183a251b71b1f80c8163f202f0a9,03ff1f,3900286e453bd32eead5777b6f183a251b71b1f80c8163f202f0a9
32,03ff20a9ac7d181753fca80e3a4ef0,03ff20,a9ac7d181753fca80e3a4ef0
33,03ff2161a986f43ec171542901dc421efc1001ba051261947fedbcb363ab3c07b38f584a960e,03ff21,61a986f43ec171542901dc421efc1001ba051261947fedbcb363ab3c07b38f584a960e
34,03ff22a0a610c92cfcc042f3e2580020afa6308b2a27fca0b9ade9e636d06053b1ee193a6c1cb7e3cc6b41cdbd6d52f2954e0508b0099857295d228fc34207ae,03ff22,a0a610c92cfcc042f3e2580020afa6308b2a27fca0b9ade9e636d06053b1ee193a6c1cb7e3cc6b41cdbd6d52f2954e0508b0099857295d228fc34207ae
35,03ff239e5dcf7e76609130e9d112b3e7bc8a2732b032226de07a,03ff23,9e5dcf7e76609130e9d112b3e7bc8a2732b032226de07a
36,03ff24ead66d67ba258ec8cc5455344e0c67fe2ddbe6221dfe0f73fb1c01f978563a429e27,03ff24,ead66d67ba258ec8cc5455344e0c67fe2ddbe6221dfe0f73fb1c01f978563a429e27
37,03ff2504725cf43550e16cd8c8df18d2cb2c236389fd07fd0bd44e9d62ef8cf8f78023b12ac6955a3bc2b789eee1b18a8f0ea6aa41135e1db3feffddf4c312,03ff25,04725cf43550e16cd8c8df18d2cb2c236389fd07fd0bd44e9d62ef8cf8f78023b12ac6955a3bc2b789eee1b18a8f0ea6aa41135e1db3feffddf4c312
38,03ff2644a50371d09e367b2873169de49f263b934c23113c704296,03ff26,44a50371d09e367b2873169de49f263b934c23113c704296
39,03ff275b5ac2c355075b692db305de057be000f930479025df918bb7ffc50c19aa3be3973bb74c5f,03ff27,5b5ac2c355075b692db305de057be000f930479025df918bb7ffc50c19aa3be3973bb74c5f
40,03ff28a0fd4f91d145de511d5fd5e5095a3230150561aa2891ff89e841e0ec5e1f4afe2085b06cf6e781b9a2685ff1a42d86,03ff28,a0fd4f91d145de511d5fd5e5095a3230150561aa2891ff89e841e0ec5e1f4afe2085b06cf6e781b9a2685ff1a42d86
41,03ff293bf61bdef5c790763e6752dc70077dd7255ce60aec0e6a19,03ff29,3bf61bdef5c790763e6752dc70077dd7255ce60aec0e6a19
42,03ff2a892c3f03fa6b5082d373b151ae24cc626dd83fd8fa1682ea2840724b04,03ff2a,892c3f03fa6b5082d373b151ae24cc626dd83fd8fa1682ea2840724b04
43,03ff2b55eca9526ee1f9b01cc7e180dc7202cfc9e5f010aecaaede597fb608111533be9f020230fd84ecfd39210607d0bf02844bc6cfcb,03ff2b,55eca9526ee1f9b01cc7e180dc7202cfc9e5f010aecaaede597fb608111533be9f020230fd84ecfd39210607d0bf02844bc6cfcb
44,03ff2cea1fb5cec99cd5fd32c3ad81a050515bc80b946ad3be2aa9c52229eef3a741206e53e38523224048,03ff2c,ea1fb5cec99cd5fd32c3ad81a050515bc80b946ad3be2aa9c52229eef3a741206e53e38523224048
45,03ff2d21e88b33c1e72182a9118772bff138753b5dbd8a8cba29253a0c19fc19abab791b9cd21cc2f35ec65d7dad3d22ba84b0,03ff2d,21e88b33c1e72182a9118772bff138753b5dbd8a8cba29253a0c19fc19abab791b9cd21cc2f35ec65d7dad3d22ba84b0
46,03ff2e24f5b05f885f03eb77bfb6fcfd383b303956f1c9b6b50b60697fa252bb6aaedcda7c6727e822c5ec875a4f,03ff2e,24f5b05f885f03eb77bfb6fcfd383b303956f1c9b6b50b60697fa252bb6aaedcda7c6727e822c5ec875a4f
47,03ff2f8ecb0f30fa3efb5d37f07e1b2f1c4c2e18ed8057e95f4f8842a73a,03ff2f,8ecb0f30fa3efb5d37f07e1b2f1c4c2e18ed8057e95f4f8842a73a
48,03ff30b4da21efeb18f1e1160ebfc72c79fc,03ff30,b4da21efeb18f1e1160ebfc72c79fc
49,03ff3112d4c2583b74474cde672c542cf84815704d12e6ce41704e,03ff31,12d4c2583b74474cde672c542cf84815704d12e6ce41704e
50,03ff3284e77d7d1119697f2088ba745a798de4258299bf8bfd5c3f1d1d6b0c1bc09ca2bdceafe02a8e49331cab04ba,03ff32,84e77d7d1119697f2088ba745a798de4258299bf8bfd5c3f1d1d6b0c1bc09ca2bdceafe02a8e49331cab04ba
51,03ff33349346d6492bcefb036afea6,03ff33,349346d6492bcefb036afea6
52,03ff3412a61d649e1a71b369e44bebc7f4e450808b5ef02a1d41c879177b71fb99ebb1,03ff34,12a61d649e1a71b369e44bebc7f4e450808b5ef02a1d41c879177b71fb99ebb1
53,03ff357401c4ac02d97260d676efda7896b75550e2e4b6e0a4b8229f234dd7a108ed10f05c1d67c92422c5cf5c34ba,03ff35,7401c4ac02d97260d676efda7896b75550e2e4b6e0a4b8229f234dd7a108ed10f05c1d67c92422c5cf5c34ba
54,03ff365f7dc71024f8a3b4d2ee8fb7360d57fa29f94cb6b376c711bf03b48a02,03ff36,5f7dc71024f8a3b4d2ee8fb7360d57fa29f94cb6b376c711bf03b48a02
55,03ff378b2c68caff144ccba973090b0812a579148b6ccb6cc4fddb9eff6d24f9ac925b45,03ff37,8b2c68caff144ccba973090b0812a579148b6ccb6cc4fddb9eff6d24f9ac925b45
56,03ff38ec0439aac5e68099454f50d6f7ba037c1afd4e6876b8ee46221426,03ff38,ec0439aac5e68099454f50d6f7ba037c1afd4e6876b8ee46221426
57,03ff3939bf4486dbd241f3907668d4f056bde35df1bc19fb9d7744c9c6812c1af5693dc1a493d329388e9e071e65e9df48a93a2010d11ac61569230b9920802abd9e6a105805fa8f1d6a40af72d5,03ff39,39bf4486dbd241f3907668d4f056bde35df1bc19fb9d7744c9c6812c1af5693dc1a493d329388e9e071e65e9df48a93a2010d11ac61569230b9920802abd9e6a105805fa8f1d6a40af72d5
58,03ff3aff0315fb27668df1fcb93f2dc7380d784fddaf,03ff3a,ff0315fb27668df1fcb93f2dc7380d784fddaf
59,03ff3b8ce1973997df252c61bbd8d535b00dfd0f5a12061409fd751cc1c5ad1f23863ccb68996e47c2b1a09d34e47062,03ff3b,8ce1973997df252c61bbd8d535b00dfd0f5a12061409fd751cc1c5ad1f23863ccb68996e47c2b1a09d34e47062
60,03ff3c1b59ffef54b8b53c8dcd61622e94c99b22814d83be3b5751edf5d73c204d4c62774e7f789615d4535c8841d264a47f9d10f9e82ef631e0,03ff3c,1b59ffef54b8b53c8dcd61622e94c99b22814d83be3b5751edf5d73c204d4c62774e7f789615d4535c8841d264a47f9d10f9e82ef631e0
